date,month,quarter,year,week,weekday
2022-01-01,1,1,2022,52,5
2022-01-02,1,1,2022,52,6
2022-01-03,1,1,2022,1,0
2022-01-04,1,1,2022,1,1
2022-01-05,1,1,2022,1,2
2022-01-06,1,1,2022,1,3
2022-01-07,1,1,2022,1,4
2022-01-08,1,1,2022,1,5
2022-01-09,1,1,2022,1,6
2022-01-10,1,1,2022,2,0
2022-01-11,1,1,2022,2,1
2022-01-12,1,1,2022,2,2
2022-01-13,1,1,2022,2,3
2022-01-14,1,1,2022,2,4
2022-01-15,1,1,2022,2,5
2022-01-16,1,1,2022,2,6
2022-01-17,1,1,2022,3,0
2022-01-18,1,1,2022,3,1
2022-01-19,1,1,2022,3,2
2022-01-20,1,1,2022,3,3
2022-01-21,1,1,2022,3,4
2022-01-22,1,1,2022,3,5
2022-01-23,1,1,2022,3,6
2022-01-24,1,1,2022,4,0
2022-01-25,1,1,2022,4,1
2022-01-26,1,1,2022,4,2
2022-01-27,1,1,2022,4,3
2022-01-28,1,1,2022,4,4
2022-01-29,1,1,2022,4,5
2022-01-30,1,1,2022,4,6
2022-01-31,1,1,2022,5,0
2022-02-01,2,1,2022,5,1
2022-02-02,2,1,2022,5,2
2022-02-03,2,1,2022,5,3
2022-02-04,2,1,2022,5,4
2022-02-05,2,1,2022,5,5
2022-02-06,2,1,2022,5,6
2022-02-07,2,1,2022,6,0
2022-02-08,2,1,2022,6,1
2022-02-09,2,1,2022,6,2
2022-02-10,2,1,2022,6,3
2022-02-11,2,1,2022,6,4
2022-02-12,2,1,2022,6,5
2022-02-13,2,1,2022,6,6
2022-02-14,2,1,2022,7,0
2022-02-15,2,1,2022,7,1
2022-02-16,2,1,2022,7,2
2022-02-17,2,1,2022,7,3
2022-02-18,2,1,2022,7,4
2022-02-19,2,1,2022,7,5
2022-02-20,2,1,2022,7,6
2022-02-21,2,1,2022,8,0
2022-02-22,2,1,2022,8,1
2022-02-23,2,1,2022,8,2
2022-02-24,2,1,2022,8,3
2022-02-25,2,1,2022,8,4
2022-02-26,2,1,2022,8,5
2022-02-27,2,1,2022,8,6
2022-02-28,2,1,2022,9,0
2022-03-01,3,1,2022,9,1
2022-03-02,3,1,2022,9,2
2022-03-03,3,1,2022,9,3
2022-03-04,3,1,2022,9,4
2022-03-05,3,1,2022,9,5
2022-03-06,3,1,2022,9,6
2022-03-07,3,1,2022,10,0
2022-03-08,3,1,2022,10,1
2022-03-09,3,1,2022,10,2
2022-03-10,3,1,2022,10,3
2022-03-11,3,1,2022,10,4
2022-03-12,3,1,2022,10,5
2022-03-13,3,1,2022,10,6
2022-03-14,3,1,2022,11,0
2022-03-15,3,1,2022,11,1
2022-03-16,3,1,2022,11,2
2022-03-17,3,1,2022,11,3
2022-03-18,3,1,2022,11,4
2022-03-19,3,1,2022,11,5
2022-03-20,3,1,2022,11,6
2022-03-21,3,1,2022,12,0
2022-03-22,3,1,2022,12,1
2022-03-23,3,1,2022,12,2
2022-03-24,3,1,2022,12,3
2022-03-25,3,1,2022,12,4
2022-03-26,3,1,2022,12,5
2022-03-27,3,1,2022,12,6
2022-03-28,3,1,2022,13,0
2022-03-29,3,1,2022,13,1
2022-03-30,3,1,2022,13,2
2022-03-31,3,1,2022,13,3
2022-04-01,4,2,2022,13,4
2022-04-02,4,2,2022,13,5
2022-04-03,4,2,2022,13,6
2022-04-04,4,2,2022,14,0
2022-04-05,4,2,2022,14,1
2022-04-06,4,2,2022,14,2
2022-04-07,4,2,2022,14,3
2022-04-08,4,2,2022,14,4
2022-04-09,4,2,2022,14,5
2022-04-10,4,2,2022,14,6
2022-04-11,4,2,2022,15,0
2022-04-12,4,2,2022,15,1
2022-04-13,4,2,2022,15,2
2022-04-14,4,2,2022,15,3
2022-04-15,4,2,2022,15,4
2022-04-16,4,2,2022,15,5
2022-04-17,4,2,2022,15,6
2022-04-18,4,2,2022,16,0
2022-04-19,4,2,2022,16,1
2022-04-20,4,2,2022,16,2
2022-04-21,4,2,2022,16,3
2022-04-22,4,2,2022,16,4
2022-04-23,4,2,2022,16,5
2022-04-24,4,2,2022,16,6
2022-04-25,4,2,2022,17,0
2022-04-26,4,2,2022,17,1
2022-04-27,4,2,2022,17,2
2022-04-28,4,2,2022,17,3
2022-04-29,4,2,2022,17,4
2022-04-30,4,2,2022,17,5
2022-05-01,5,2,2022,17,6
2022-05-02,5,2,2022,18,0
2022-05-03,5,2,2022,18,1
2022-05-04,5,2,2022,18,2
2022-05-05,5,2,2022,18,3
2022-05-06,5,2,2022,18,4
2022-05-07,5,2,2022,18,5
2022-05-08,5,2,2022,18,6
2022-05-09,5,2,2022,19,0
2022-05-10,5,2,2022,19,1
2022-05-11,5,2,2022,19,2
2022-05-12,5,2,2022,19,3
2022-05-13,5,2,2022,19,4
2022-05-14,5,2,2022,19,5
2022-05-15,5,2,2022,19,6
2022-05-16,5,2,2022,20,0
2022-05-17,5,2,2022,20,1
2022-05-18,5,2,2022,20,2
2022-05-19,5,2,2022,20,3
2022-05-20,5,2,2022,20,4
2022-05-21,5,2,2022,20,5
2022-05-22,5,2,2022,20,6
2022-05-23,5,2,2022,21,0
2022-05-24,5,2,2022,21,1
2022-05-25,5,2,2022,21,2
2022-05-26,5,2,2022,21,3
2022-05-27,5,2,2022,21,4
2022-05-28,5,2,2022,21,5
2022-05-29,5,2,2022,21,6
2022-05-30,5,2,2022,22,0
2022-05-31,5,2,2022,22,1
2022-06-01,6,2,2022,22,2
2022-06-02,6,2,2022,22,3
2022-06-03,6,2,2022,22,4
2022-06-04,6,2,2022,22,5
2022-06-05,6,2,2022,22,6
2022-06-06,6,2,2022,23,0
2022-06-07,6,2,2022,23,1
2022-06-08,6,2,2022,23,2
2022-06-09,6,2,2022,23,3
2022-06-10,6,2,2022,23,4
2022-06-11,6,2,2022,23,5
2022-06-12,6,2,2022,23,6
2022-06-13,6,2,2022,24,0
2022-06-14,6,2,2022,24,1
2022-06-15,6,2,2022,24,2
2022-06-16,6,2,2022,24,3
2022-06-17,6,2,2022,24,4
2022-06-18,6,2,2022,24,5
2022-06-19,6,2,2022,24,6
2022-06-20,6,2,2022,25,0
2022-06-21,6,2,2022,25,1
2022-06-22,6,2,2022,25,2
2022-06-23,6,2,2022,25,3
2022-06-24,6,2,2022,25,4
2022-06-25,6,2,2022,25,5
2022-06-26,6,2,2022,25,6
2022-06-27,6,2,2022,26,0
2022-06-28,6,2,2022,26,1
2022-06-29,6,2,2022,26,2
2022-06-30,6,2,2022,26,3
2022-07-01,7,3,2022,26,4
2022-07-02,7,3,2022,26,5
2022-07-03,7,3,2022,26,6
2022-07-04,7,3,2022,27,0
2022-07-05,7,3,2022,27,1
2022-07-06,7,3,2022,27,2
2022-07-07,7,3,2022,27,3
2022-07-08,7,3,2022,27,4
2022-07-09,7,3,2022,27,5
2022-07-10,7,3,2022,27,6
2022-07-11,7,3,2022,28,0
2022-07-12,7,3,2022,28,1
2022-07-13,7,3,2022,28,2
2022-07-14,7,3,2022,28,3
2022-07-15,7,3,2022,28,4
2022-07-16,7,3,2022,28,5
2022-07-17,7,3,2022,28,6
2022-07-18,7,3,2022,29,0
2022-07-19,7,3,2022,29,1
2022-07-20,7,3,2022,29,2
2022-07-21,7,3,2022,29,3
2022-07-22,7,3,2022,29,4
2022-07-23,7,3,2022,29,5
2022-07-24,7,3,2022,29,6
2022-07-25,7,3,2022,30,0
2022-07-26,7,3,2022,30,1
2022-07-27,7,3,2022,30,2
2022-07-28,7,3,2022,30,3
2022-07-29,7,3,2022,30,4
2022-07-30,7,3,2022,30,5
2022-07-31,7,3,2022,30,6
2022-08-01,8,3,2022,31,0
2022-08-02,8,3,2022,31,1
2022-08-03,8,3,2022,31,2
2022-08-04,8,3,2022,31,3
2022-08-05,8,3,2022,31,4
2022-08-06,8,3,2022,31,5
2022-08-07,8,3,2022,31,6
2022-08-08,8,3,2022,32,0
2022-08-09,8,3,2022,32,1
2022-08-10,8,3,2022,32,2
2022-08-11,8,3,2022,32,3
2022-08-12,8,3,2022,32,4
2022-08-13,8,3,2022,32,5
2022-08-14,8,3,2022,32,6
2022-08-15,8,3,2022,33,0
2022-08-16,8,3,2022,33,1
2022-08-17,8,3,2022,33,2
2022-08-18,8,3,2022,33,3
2022-08-19,8,3,2022,33,4
2022-08-20,8,3,2022,33,5
2022-08-21,8,3,2022,33,6
2022-08-22,8,3,2022,34,0
2022-08-23,8,3,2022,34,1
2022-08-24,8,3,2022,34,2
2022-08-25,8,3,2022,34,3
2022-08-26,8,3,2022,34,4
2022-08-27,8,3,2022,34,5
2022-08-28,8,3,2022,34,6
2022-08-29,8,3,2022,35,0
2022-08-30,8,3,2022,35,1
2022-08-31,8,3,2022,35,2
2022-09-01,9,3,2022,35,3
2022-09-02,9,3,2022,35,4
2022-09-03,9,3,2022,35,5
2022-09-04,9,3,2022,35,6
2022-09-05,9,3,2022,36,0
2022-09-06,9,3,2022,36,1
2022-09-07,9,3,2022,36,2
2022-09-08,9,3,2022,36,3
2022-09-09,9,3,2022,36,4
2022-09-10,9,3,2022,36,5
2022-09-11,9,3,2022,36,6
2022-09-12,9,3,2022,37,0
2022-09-13,9,3,2022,37,1
2022-09-14,9,3,2022,37,2
2022-09-15,9,3,2022,37,3
2022-09-16,9,3,2022,37,4
2022-09-17,9,3,2022,37,5
2022-09-18,9,3,2022,37,6
2022-09-19,9,3,2022,38,0
2022-09-20,9,3,2022,38,1
2022-09-21,9,3,2022,38,2
2022-09-22,9,3,2022,38,3
2022-09-23,9,3,2022,38,4
2022-09-24,9,3,2022,38,5
2022-09-25,9,3,2022,38,6
2022-09-26,9,3,2022,39,0
2022-09-27,9,3,2022,39,1
2022-09-28,9,3,2022,39,2
2022-09-29,9,3,2022,39,3
2022-09-30,9,3,2022,39,4
2022-10-01,10,4,2022,39,5
2022-10-02,10,4,2022,39,6
2022-10-03,10,4,2022,40,0
2022-10-04,10,4,2022,40,1
2022-10-05,10,4,2022,40,2
2022-10-06,10,4,2022,40,3
2022-10-07,10,4,2022,40,4
2022-10-08,10,4,2022,40,5
2022-10-09,10,4,2022,40,6
2022-10-10,10,4,2022,41,0
2022-10-11,10,4,2022,41,1
2022-10-12,10,4,2022,41,2
2022-10-13,10,4,2022,41,3
2022-10-14,10,4,2022,41,4
2022-10-15,10,4,2022,41,5
2022-10-16,10,4,2022,41,6
2022-10-17,10,4,2022,42,0
2022-10-18,10,4,2022,42,1
2022-10-19,10,4,2022,42,2
2022-10-20,10,4,2022,42,3
2022-10-21,10,4,2022,42,4
2022-10-22,10,4,2022,42,5
2022-10-23,10,4,2022,42,6
2022-10-24,10,4,2022,43,0
2022-10-25,10,4,2022,43,1
2022-10-26,10,4,2022,43,2
2022-10-27,10,4,2022,43,3
2022-10-28,10,4,2022,43,4
2022-10-29,10,4,2022,43,5
2022-10-30,10,4,2022,43,6
2022-10-31,10,4,2022,44,0
2022-11-01,11,4,2022,44,1
2022-11-02,11,4,2022,44,2
2022-11-03,11,4,2022,44,3
2022-11-04,11,4,2022,44,4
2022-11-05,11,4,2022,44,5
2022-11-06,11,4,2022,44,6
2022-11-07,11,4,2022,45,0
2022-11-08,11,4,2022,45,1
2022-11-09,11,4,2022,45,2
2022-11-10,11,4,2022,45,3
2022-11-11,11,4,2022,45,4
2022-11-12,11,4,2022,45,5
2022-11-13,11,4,2022,45,6
2022-11-14,11,4,2022,46,0
2022-11-15,11,4,2022,46,1
2022-11-16,11,4,2022,46,2
2022-11-17,11,4,2022,46,3
2022-11-18,11,4,2022,46,4
2022-11-19,11,4,2022,46,5
2022-11-20,11,4,2022,46,6
2022-11-21,11,4,2022,47,0
2022-11-22,11,4,2022,47,1
2022-11-23,11,4,2022,47,2
2022-11-24,11,4,2022,47,3
2022-11-25,11,4,2022,47,4
2022-11-26,11,4,2022,47,5
2022-11-27,11,4,2022,47,6
2022-11-28,11,4,2022,48,0
2022-11-29,11,4,2022,48,1
2022-11-30,11,4,2022,48,2
2022-12-01,12,4,2022,48,3
2022-12-02,12,4,2022,48,4
2022-12-03,12,4,2022,48,5
2022-12-04,12,4,2022,48,6
2022-12-05,12,4,2022,49,0
2022-12-06,12,4,2022,49,1
2022-12-07,12,4,2022,49,2
2022-12-08,12,4,2022,49,3
2022-12-09,12,4,2022,49,4
2022-12-10,12,4,2022,49,5
2022-12-11,12,4,2022,49,6
2022-12-12,12,4,2022,50,0
2022-12-13,12,4,2022,50,1
2022-12-14,12,4,2022,50,2
2022-12-15,12,4,2022,50,3
2022-12-16,12,4,2022,50,4
2022-12-17,12,4,2022,50,5
2022-12-18,12,4,2022,50,6
2022-12-19,12,4,2022,51,0
2022-12-20,12,4,2022,51,1
2022-12-21,12,4,2022,51,2
2022-12-22,12,4,2022,51,3
2022-12-23,12,4,2022,51,4
2022-12-24,12,4,2022,51,5
2022-12-25,12,4,2022,51,6
2022-12-26,12,4,2022,52,0
2022-12-27,12,4,2022,52,1
2022-12-28,12,4,2022,52,2
2022-12-29,12,4,2022,52,3
2022-12-30,12,4,2022,52,4
2022-12-31,12,4,2022,52,5
2023-01-01,1,1,2023,52,6
2023-01-02,1,1,2023,1,0
2023-01-03,1,1,2023,1,1
2023-01-04,1,1,2023,1,2
2023-01-05,1,1,2023,1,3
2023-01-06,1,1,2023,1,4
2023-01-07,1,1,2023,1,5
2023-01-08,1,1,2023,1,6
2023-01-09,1,1,2023,2,0
2023-01-10,1,1,2023,2,1
2023-01-11,1,1,2023,2,2
2023-01-12,1,1,2023,2,3
2023-01-13,1,1,2023,2,4
2023-01-14,1,1,2023,2,5
2023-01-15,1,1,2023,2,6
2023-01-16,1,1,2023,3,0
2023-01-17,1,1,2023,3,1
2023-01-18,1,1,2023,3,2
2023-01-19,1,1,2023,3,3
2023-01-20,1,1,2023,3,4
2023-01-21,1,1,2023,3,5
2023-01-22,1,1,2023,3,6
2023-01-23,1,1,2023,4,0
2023-01-24,1,1,2023,4,1
2023-01-25,1,1,2023,4,2
2023-01-26,1,1,2023,4,3
2023-01-27,1,1,2023,4,4
2023-01-28,1,1,2023,4,5
2023-01-29,1,1,2023,4,6
2023-01-30,1,1,2023,5,0
2023-01-31,1,1,2023,5,1
2023-02-01,2,1,2023,5,2
2023-02-02,2,1,2023,5,3
2023-02-03,2,1,2023,5,4
2023-02-04,2,1,2023,5,5
2023-02-05,2,1,2023,5,6
2023-02-06,2,1,2023,6,0
2023-02-07,2,1,2023,6,1
2023-02-08,2,1,2023,6,2
2023-02-09,2,1,2023,6,3
2023-02-10,2,1,2023,6,4
2023-02-11,2,1,2023,6,5
2023-02-12,2,1,2023,6,6
2023-02-13,2,1,2023,7,0
2023-02-14,2,1,2023,7,1
2023-02-15,2,1,2023,7,2
2023-02-16,2,1,2023,7,3
2023-02-17,2,1,2023,7,4
2023-02-18,2,1,2023,7,5
2023-02-19,2,1,2023,7,6
2023-02-20,2,1,2023,8,0
2023-02-21,2,1,2023,8,1
2023-02-22,2,1,2023,8,2
2023-02-23,2,1,2023,8,3
2023-02-24,2,1,2023,8,4
2023-02-25,2,1,2023,8,5
2023-02-26,2,1,2023,8,6
2023-02-27,2,1,2023,9,0
2023-02-28,2,1,2023,9,1
2023-03-01,3,1,2023,9,2
2023-03-02,3,1,2023,9,3
2023-03-03,3,1,2023,9,4
2023-03-04,3,1,2023,9,5
2023-03-05,3,1,2023,9,6
2023-03-06,3,1,2023,10,0
2023-03-07,3,1,2023,10,1
2023-03-08,3,1,2023,10,2
2023-03-09,3,1,2023,10,3
2023-03-10,3,1,2023,10,4
2023-03-11,3,1,2023,10,5
2023-03-12,3,1,2023,10,6
2023-03-13,3,1,2023,11,0
2023-03-14,3,1,2023,11,1
2023-03-15,3,1,2023,11,2
2023-03-16,3,1,2023,11,3
2023-03-17,3,1,2023,11,4
2023-03-18,3,1,2023,11,5
2023-03-19,3,1,2023,11,6
2023-03-20,3,1,2023,12,0
2023-03-21,3,1,2023,12,1
2023-03-22,3,1,2023,12,2
2023-03-23,3,1,2023,12,3
2023-03-24,3,1,2023,12,4
2023-03-25,3,1,2023,12,5
2023-03-26,3,1,2023,12,6
2023-03-27,3,1,2023,13,0
2023-03-28,3,1,2023,13,1
2023-03-29,3,1,2023,13,2
2023-03-30,3,1,2023,13,3
2023-03-31,3,1,2023,13,4
2023-04-01,4,2,2023,13,5
2023-04-02,4,2,2023,13,6
2023-04-03,4,2,2023,14,0
2023-04-04,4,2,2023,14,1
2023-04-05,4,2,2023,14,2
2023-04-06,4,2,2023,14,3
2023-04-07,4,2,2023,14,4
2023-04-08,4,2,2023,14,5
2023-04-09,4,2,2023,14,6
2023-04-10,4,2,2023,15,0
2023-04-11,4,2,2023,15,1
2023-04-12,4,2,2023,15,2
2023-04-13,4,2,2023,15,3
2023-04-14,4,2,2023,15,4
2023-04-15,4,2,2023,15,5
2023-04-16,4,2,2023,15,6
2023-04-17,4,2,2023,16,0
2023-04-18,4,2,2023,16,1
2023-04-19,4,2,2023,16,2
2023-04-20,4,2,2023,16,3
2023-04-21,4,2,2023,16,4
2023-04-22,4,2,2023,16,5
2023-04-23,4,2,2023,16,6
2023-04-24,4,2,2023,17,0
2023-04-25,4,2,2023,17,1
2023-04-26,4,2,2023,17,2
2023-04-27,4,2,2023,17,3
2023-04-28,4,2,2023,17,4
2023-04-29,4,2,2023,17,5
2023-04-30,4,2,2023,17,6
2023-05-01,5,2,2023,18,0
2023-05-02,5,2,2023,18,1
2023-05-03,5,2,2023,18,2
2023-05-04,5,2,2023,18,3
2023-05-05,5,2,2023,18,4
2023-05-06,5,2,2023,18,5
2023-05-07,5,2,2023,18,6
2023-05-08,5,2,2023,19,0
2023-05-09,5,2,2023,19,1
2023-05-10,5,2,2023,19,2
2023-05-11,5,2,2023,19,3
2023-05-12,5,2,2023,19,4
2023-05-13,5,2,2023,19,5
2023-05-14,5,2,2023,19,6
2023-05-15,5,2,2023,20,0
2023-05-16,5,2,2023,20,1
2023-05-17,5,2,2023,20,2
2023-05-18,5,2,2023,20,3
2023-05-19,5,2,2023,20,4
2023-05-20,5,2,2023,20,5
2023-05-21,5,2,2023,20,6
2023-05-22,5,2,2023,21,0
2023-05-23,5,2,2023,21,1
2023-05-24,5,2,2023,21,2
2023-05-25,5,2,2023,21,3
2023-05-26,5,2,2023,21,4
2023-05-27,5,2,2023,21,5
2023-05-28,5,2,2023,21,6
2023-05-29,5,2,2023,22,0
2023-05-30,5,2,2023,22,1
2023-05-31,5,2,2023,22,2
2023-06-01,6,2,2023,22,3
2023-06-02,6,2,2023,22,4
2023-06-03,6,2,2023,22,5
2023-06-04,6,2,2023,22,6
2023-06-05,6,2,2023,23,0
2023-06-06,6,2,2023,23,1
2023-06-07,6,2,2023,23,2
2023-06-08,6,2,2023,23,3
2023-06-09,6,2,2023,23,4
2023-06-10,6,2,2023,23,5
2023-06-11,6,2,2023,23,6
2023-06-12,6,2,2023,24,0
2023-06-13,6,2,2023,24,1
2023-06-14,6,2,2023,24,2
2023-06-15,6,2,2023,24,3
2023-06-16,6,2,2023,24,4
2023-06-17,6,2,2023,24,5
2023-06-18,6,2,2023,24,6
2023-06-19,6,2,2023,25,0
2023-06-20,6,2,2023,25,1
2023-06-21,6,2,2023,25,2
2023-06-22,6,2,2023,25,3
2023-06-23,6,2,2023,25,4
2023-06-24,6,2,2023,25,5
2023-06-25,6,2,2023,25,6
2023-06-26,6,2,2023,26,0
2023-06-27,6,2,2023,26,1
2023-06-28,6,2,2023,26,2
2023-06-29,6,2,2023,26,3
2023-06-30,6,2,2023,26,4
2023-07-01,7,3,2023,26,5
2023-07-02,7,3,2023,26,6
2023-07-03,7,3,2023,27,0
2023-07-04,7,3,2023,27,1
2023-07-05,7,3,2023,27,2
2023-07-06,7,3,2023,27,3
2023-07-07,7,3,2023,27,4
2023-07-08,7,3,2023,27,5
2023-07-09,7,3,2023,27,6
2023-07-10,7,3,2023,28,0
2023-07-11,7,3,2023,28,1
2023-07-12,7,3,2023,28,2
2023-07-13,7,3,2023,28,3
2023-07-14,7,3,2023,28,4
2023-07-15,7,3,2023,28,5
2023-07-16,7,3,2023,28,6
2023-07-17,7,3,2023,29,0
2023-07-18,7,3,2023,29,1
2023-07-19,7,3,2023,29,2
2023-07-20,7,3,2023,29,3
2023-07-21,7,3,2023,29,4
2023-07-22,7,3,2023,29,5
2023-07-23,7,3,2023,29,6
2023-07-24,7,3,2023,30,0
2023-07-25,7,3,2023,30,1
2023-07-26,7,3,2023,30,2
2023-07-27,7,3,2023,30,3
2023-07-28,7,3,2023,30,4
2023-07-29,7,3,2023,30,5
2023-07-30,7,3,2023,30,6
2023-07-31,7,3,2023,31,0
2023-08-01,8,3,2023,31,1
2023-08-02,8,3,2023,31,2
2023-08-03,8,3,2023,31,3
2023-08-04,8,3,2023,31,4
2023-08-05,8,3,2023,31,5
2023-08-06,8,3,2023,31,6
2023-08-07,8,3,2023,32,0
2023-08-08,8,3,2023,32,1
2023-08-09,8,3,2023,32,2
2023-08-10,8,3,2023,32,3
2023-08-11,8,3,2023,32,4
2023-08-12,8,3,2023,32,5
2023-08-13,8,3,2023,32,6
2023-08-14,8,3,2023,33,0
2023-08-15,8,3,2023,33,1
2023-08-16,8,3,2023,33,2
2023-08-17,8,3,2023,33,3
2023-08-18,8,3,2023,33,4
2023-08-19,8,3,2023,33,5
2023-08-20,8,3,2023,33,6
2023-08-21,8,3,2023,34,0
2023-08-22,8,3,2023,34,1
2023-08-23,8,3,2023,34,2
2023-08-24,8,3,2023,34,3
2023-08-25,8,3,2023,34,4
2023-08-26,8,3,2023,34,5
2023-08-27,8,3,2023,34,6
2023-08-28,8,3,2023,35,0
2023-08-29,8,3,2023,35,1
2023-08-30,8,3,2023,35,2
2023-08-31,8,3,2023,35,3
2023-09-01,9,3,2023,35,4
2023-09-02,9,3,2023,35,5
2023-09-03,9,3,2023,35,6
2023-09-04,9,3,2023,36,0
2023-09-05,9,3,2023,36,1
2023-09-06,9,3,2023,36,2
2023-09-07,9,3,2023,36,3
2023-09-08,9,3,2023,36,4
2023-09-09,9,3,2023,36,5
2023-09-10,9,3,2023,36,6
2023-09-11,9,3,2023,37,0
2023-09-12,9,3,2023,37,1
2023-09-13,9,3,2023,37,2
2023-09-14,9,3,2023,37,3
2023-09-15,9,3,2023,37,4
2023-09-16,9,3,2023,37,5
2023-09-17,9,3,2023,37,6
2023-09-18,9,3,2023,38,0
2023-09-19,9,3,2023,38,1
2023-09-20,9,3,2023,38,2
2023-09-21,9,3,2023,38,3
2023-09-22,9,3,2023,38,4
2023-09-23,9,3,2023,38,5
2023-09-24,9,3,2023,38,6
2023-09-25,9,3,2023,39,0
2023-09-26,9,3,2023,39,1
2023-09-27,9,3,2023,39,2
2023-09-28,9,3,2023,39,3
2023-09-29,9,3,2023,39,4
2023-09-30,9,3,2023,39,5
2023-10-01,10,4,2023,39,6
2023-10-02,10,4,2023,40,0
2023-10-03,10,4,2023,40,1
2023-10-04,10,4,2023,40,2
2023-10-05,10,4,2023,40,3
2023-10-06,10,4,2023,40,4
2023-10-07,10,4,2023,40,5
2023-10-08,10,4,2023,40,6
2023-10-09,10,4,2023,41,0
2023-10-10,10,4,2023,41,1
2023-10-11,10,4,2023,41,2
2023-10-12,10,4,2023,41,3
2023-10-13,10,4,2023,41,4
2023-10-14,10,4,2023,41,5
2023-10-15,10,4,2023,41,6
2023-10-16,10,4,2023,42,0
2023-10-17,10,4,2023,42,1
2023-10-18,10,4,2023,42,2
2023-10-19,10,4,2023,42,3
2023-10-20,10,4,2023,42,4
2023-10-21,10,4,2023,42,5
2023-10-22,10,4,2023,42,6
2023-10-23,10,4,2023,43,0
2023-10-24,10,4,2023,43,1
2023-10-25,10,4,2023,43,2
2023-10-26,10,4,2023,43,3
2023-10-27,10,4,2023,43,4
2023-10-28,10,4,2023,43,5
2023-10-29,10,4,2023,43,6
2023-10-30,10,4,2023,44,0
2023-10-31,10,4,2023,44,1
2023-11-01,11,4,2023,44,2
2023-11-02,11,4,2023,44,3
2023-11-03,11,4,2023,44,4
2023-11-04,11,4,2023,44,5
2023-11-05,11,4,2023,44,6
2023-11-06,11,4,2023,45,0
2023-11-07,11,4,2023,45,1
2023-11-08,11,4,2023,45,2
2023-11-09,11,4,2023,45,3
2023-11-10,11,4,2023,45,4
2023-11-11,11,4,2023,45,5
2023-11-12,11,4,2023,45,6
2023-11-13,11,4,2023,46,0
2023-11-14,11,4,2023,46,1
2023-11-15,11,4,2023,46,2
2023-11-16,11,4,2023,46,3
2023-11-17,11,4,2023,46,4
2023-11-18,11,4,2023,46,5
2023-11-19,11,4,2023,46,6
2023-11-20,11,4,2023,47,0
2023-11-21,11,4,2023,47,1
2023-11-22,11,4,2023,47,2
2023-11-23,11,4,2023,47,3
2023-11-24,11,4,2023,47,4
2023-11-25,11,4,2023,47,5
2023-11-26,11,4,2023,47,6
2023-11-27,11,4,2023,48,0
2023-11-28,11,4,2023,48,1
2023-11-29,11,4,2023,48,2
2023-11-30,11,4,2023,48,3
2023-12-01,12,4,2023,48,4
2023-12-02,12,4,2023,48,5
2023-12-03,12,4,2023,48,6
2023-12-04,12,4,2023,49,0
2023-12-05,12,4,2023,49,1
2023-12-06,12,4,2023,49,2
2023-12-07,12,4,2023,49,3
2023-12-08,12,4,2023,49,4
2023-12-09,12,4,2023,49,5
2023-12-10,12,4,2023,49,6
2023-12-11,12,4,2023,50,0
2023-12-12,12,4,2023,50,1
2023-12-13,12,4,2023,50,2
2023-12-14,12,4,2023,50,3
2023-12-15,12,4,2023,50,4
2023-12-16,12,4,2023,50,5
2023-12-17,12,4,2023,50,6
2023-12-18,12,4,2023,51,0
2023-12-19,12,4,2023,51,1
2023-12-20,12,4,2023,51,2
2023-12-21,12,4,2023,51,3
2023-12-22,12,4,2023,51,4
2023-12-23,12,4,2023,51,5
2023-12-24,12,4,2023,51,6
2023-12-25,12,4,2023,52,0
2023-12-26,12,4,2023,52,1
2023-12-27,12,4,2023,52,2
2023-12-28,12,4,2023,52,3
2023-12-29,12,4,2023,52,4
2023-12-30,12,4,2023,52,5
2023-12-31,12,4,2023,52,6
